Provincia,densidad,mujeres,extranjeros,edadmedia,pensionistas,pension,base_cotizacion,autonomos,tasa_paro,tasa_paro_juvenil,esperanza_vida,imv,agricultura,industria,construccion,servicios,pib,n_hipotecas,importe_hipotecas,n_sociedades,capital_sociedades,ipc,alquiler_vivienda,compra_vivienda,estudios_superiores,lengua_cooficial,govern_dip_esq,izquierda,PP,PSOE,VOX,SUMAR
Gipuzkoa,"365,87","51,14","8,47","45,71","23,98","1.624,16","2.533,30","3,45","8,67","0,69","83,44","2,26","2,10","19,90","4,60","69,60","30.088,94","13,02","173.347,83","13,62","64.961,50","7,71","15,10","3.446,00","42,80","1,00","2,00","65,08","8,69","23,29","2,09","10,64"
Girona,"134,26","49,91","20,46","42,83","18,10","1.289,68","1.956,40","4,79","9,00","0,50","83,04","3,97","2,00","18,30","7,00","68,60","24.789,16","14,05","153.599,71","21,54","36.970,16","8,95","11,80","2.455,00","28,00","1,00","2,00","54,59","9,70","28,93","7,03","10,94"
Granada,"72,90","50,74","7,50","43,09","18,88","1.145,19","1.846,10","5,01","21,45","1,56","81,85","8,08","4,80","7,40","7,50","69,50","17.179,17","11,94","118.064,50","14,95","64.723,51","8,60","8,70","1.836,00","30,40","0,00","0,00","44,63","36,99","32,98","16,12","11,65"
Guadalajara,"21,95","49,32","13,88","42,22","15,62","1.350,37","2.042,00","3,61","11,07","0,72","83,84","2,84","2,00","13,30","6,30","73,80","18.893,48","14,56","185.078,38","12,08","10.959,88","9,91","7,80","1.517,00","31,10","0,00","1,00","42,14","36,33","32,98","19,25","9,16"
Huelva,"52,21","50,41","9,68","42,49","17,68","1.188,46","1.829,90","3,62","19,61","1,33","81,19","6,28","11,50","8,40","6,00","66,40","18.092,32","13,23","101.259,72","13,41","14.555,71","9,21","7,60","1.416,00","24,40","0,00","0,00","46,37","36,43","35,95","14,63","10,42"
Huesca,"14,42","49,27","13,21","45,89","22,01","1.254,07","1.931,10","5,99","6,41","0,73","83,67","3,70","13,20","17,60","7,30","59,50","28.107,22","13,36","143.915,03","13,62","85.524,43","9,74","8,30","1.611,00","30,20","0,00","0,00","45,11","38,19","33,62","12,64","11,49"
Jaén,"46,22","50,50","2,83","44,18","21,48","1.080,14","1.783,30","4,65","23,25","1,72","81,76","9,14","14,30","12,70","5,30","60,60","17.059,11","8,72","91.243,34","8,40","29.169,85","9,04","5,60","999,00","24,50","0,00","1,00","44,28","37,32","36,29","14,75","7,99"
León,"28,76","51,42","4,56","49,56","27,86","1.336,35","1.902,50","4,73","10,41","0,73","83,51","4,10","4,30","12,70","5,80","72,10","20.847,49","8,65","106.392,67","10,78","37.664,60","10,77","6,40","1.276,00","28,40","0,00","1,00","40,38","36,92","33,64","12,88","6,75"
Lleida,"36,27","48,98","18,87","43,80","20,33","1.216,42","1.971,50","4,85","7,63","0,59","82,77","3,51","7,50","16,60","7,10","65,00","26.101,27","10,52","107.611,28","16,33","60.814,15","9,50","8,70","1.319,00","29,20","1,00","1,00","55,98","12,84","29,49","6,81","7,89"
Lugo,"32,87","51,55","5,20","50,36","29,69","1.088,15","1.836,40","6,13","9,39","0,37","83,35","3,75","12,50","11,10","6,30","65,80","21.180,77","7,70","115.181,09","12,10","35.821,43","9,34","6,20","1.235,00","26,90","1,00","1,00","44,14","50,24","30,30","4,35","5,18"
Madrid,"840,85","52,15","14,07","43,00","16,77","1.519,43","2.350,80","3,68","10,53","0,61","84,63","2,77","0,30","8,70","5,50","79,90","32.364,09","15,44","226.232,75","34,43","63.503,76","7,55","16,10","3.577,00","40,80","0,00","0,00","43,30","40,55","27,84","14,03","15,46"
Málaga,"235,08","51,06","16,73","42,96","15,12","1.187,11","1.854,30","4,92","16,05","1,12","81,86","5,23","2,40","4,20","6,70","78,80","16.444,82","17,04","199.726,31","37,06","56.468,66","8,76","13,50","3.201,00","26,60","0,00","0,00","42,60","38,31","30,34","16,46","12,26"
Melilla,"6.551,54","49,52","13,71","36,29","9,59","1.221,10","1.998,40","3,63","20,89","2,72","79,79","15,69","0,60","1,90","4,00","78,50","17.872,28","9,30","117.016,41","11,98","35.931,37","8,56","9,40","2.124,00","25,80","0,00","0,00","28,41","49,16","25,39","15,94","3,02"
Murcia,"135,40","49,90","14,80","41,21","15,31","1.167,78","1.877,20","3,89","13,39","1,04","82,21","6,35","10,90","10,70","5,90","67,10","19.401,04","12,23","92.739,27","15,67","55.793,75","8,81","7,60","1.260,00","25,70","0,00","0,00","34,87","41,18","25,30","21,81","9,57"
Navarra,"63,91","50,52","11,06","43,83","19,75","1.501,30","2.349,80","3,91","9,29","0,84","84,28","3,20","3,50","24,00","5,00","63,10","28.521,89","10,09","150.132,97","11,22","55.825,50","8,82","9,60","2.044,00","37,00","1,00","1,00","57,46","16,71","27,37","5,70","12,85"
Ourense,"41,84","51,99","5,43","51,19","31,01","1.009,07","1.855,70","4,71","8,64","0,49","83,51","3,78","5,00","13,10","6,90","70,90","21.098,06","5,88","84.458,05","11,93","87.787,88","9,45","6,30","1.459,00","24,50","1,00","0,00","43,77","50,02","30,08","4,87","5,46"
Palencia,"19,62","50,47","4,73","48,59","25,44","1.319,79","1.947,80","5,01","6,61","0,82","82,41","4,53","6,40","22,70","6,50","61,60","25.444,17","8,73","102.819,43","7,59","29.841,67","8,91","6,40","1.366,00","30,10","0,00","0,00","40,73","41,98","34,67","12,90","6,06"
"Palmas, Las","277,77","50,33","12,65","43,10","15,35","1.191,12","1.846,70","4,34","14,64","0,84","82,15","3,48","1,10","5,00","6,00","79,70","17.274,73","10,29","145.746,15","16,87","43.544,36","7,73","13,10","2.077,00","27,30","0,00","1,00","43,46","25,85","33,19","14,61","10,27"
Pontevedra,"209,79","51,74","4,12","46,52","23,48","1.195,74","1.897,90","4,52","10,78","0,46","83,64","3,13","4,60","17,10","6,30","66,00","21.341,07","8,62","116.546,32","15,68","57.878,97","9,46","8,80","2.025,00","29,10","1,00","0,00","53,95","39,72","31,36","4,81","13,19"
"Rioja, La","63,41","50,65","13,05","45,00","20,65","1.303,08","2.004,50","4,72","9,61","0,53","83,22","4,56","5,30","26,70","6,40","57,70","25.364,23","15,19","98.376,62","12,38","143.090,91","8,92","7,70","1.656,00","30,70","0,00","0,00","42,25","45,64","35,68","9,77","6,57"
